id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,2079179723145,37492069937
ethereum,eth,Ethereum,303909418354,24375857296
tether,usdt,Tether,155480785823,60155884601
ripple,xrp,XRP,127318751240,3307071971
binancecoin,bnb,BNB,94667844917,894412536
solana,sol,Solana,77970584100,4813641523
usd-coin,usdc,USDC,61543122683,10839789024
tron,trx,TRON,25747518600,899116977
dogecoin,doge,Dogecoin,25413035510,1159744977
staked-ether,steth,Lido Staked Ether,22944423466,15614714
cardano,ada,Cardano,22070617847,610729699
wrapped-bitcoin,wbtc,Wrapped Bitcoin,13498336227,299807498
hyperliquid,hype,Hyperliquid,13376922941,523549106
wrapped-steth,wsteth,Wrapped stETH,10961975773,8831418
sui,sui,Sui,9636214225,1143631324
bitcoin-cash,bch,Bitcoin Cash,9231063555,427380791
chainlink,link,Chainlink,8560227508,459505895
leo-token,leo,LEO Token,8519418788,2687667
stellar,xlm,Stellar,7883238711,197833750
avalanche-2,avax,Avalanche,7867662523,387200970
the-open-network,ton,Toncoin,7320970330,159035807
usds,usds,USDS,7115125761,3358946
whitebit,wbt,WhiteBIT Coin,6967622914,83126097
shiba-inu,shib,Shiba Inu,6854181365,167594795
weth,weth,WETH,6602148173,283293481
wrapped-eeth,weeth,Wrapped eETH,6597119579,8779587
litecoin,ltc,Litecoin,6416662220,348110639
hedera-hashgraph,hbar,Hedera,6308433600,151389155
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),6284217891,7575396119
monero,xmr,Monero,5913885382,93760160
ethena-usde,usde,Ethena USDe,5892448559,102047530
polkadot,dot,Polkadot,5667677835,186235812
bitget-token,bgb,Bitget Token,5170307217,37857295
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,4817492960,358778219
uniswap,uni,Uniswap,4484365500,612346493
pepe,pepe,Pepe,4265824451,1153460043
pi-network,pi,Pi Network,4104369201,121741302
aave,aave,Aave,4054659045,592630640
dai,dai,Dai,3779991579,109314722
ethena-staked-usde,susde,Ethena Staked USDe,3497010609,14177848
bittensor,tao,Bittensor,3108320750,182181088
okb,okb,OKB,2942182492,37513166
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2899998918,0.0
aptos,apt,Aptos,2852006282,176504885
internet-computer,icp,Internet Computer,2756229040,70794835
crypto-com-chain,cro,Cronos,2738210012,19890725
near,near,NEAR Protocol,2636309147,192469507
jito-staked-sol,jitosol,Jito Staked SOL,2554757911,46463271
susds,susds,sUSDS,2529501209,23505921
ethereum-classic,etc,Ethereum Classic,2514412165,50058722
tokenize-xchange,tkx,Tokenize Xchange,2393848171,24389097
ondo-finance,ondo,Ondo,2355239472,172290898
usd1-wlfi,usd1,USD1,2188016565,286900891
mantle,mnt,Mantle,1994997964,191114420
official-trump,trump,Official Trump,1914437694,269429910
fasttoken,ftn,Fasttoken,1903072388,56888157
gatechain-token,gt,Gate,1890658039,15904905
kaspa,kas,Kaspa,1873993735,62182019
vechain,vet,VeChain,1851564553,34690574
cosmos,atom,Cosmos Hub,1831851477,95569226
sky,sky,Sky,1798304809,9245640
lombard-staked-btc,lbtc,Lombard Staked BTC,1788565670,9407534
polygon-ecosystem-token,pol,POL (ex-MATIC),1748387356,72821425
ethena,ena,Ethena,1710466054,240360701
fetch-ai,fet,Artificial Superintelligence Alliance,1706484740,192405432
render-token,render,Render,1667434194,117588867
filecoin,fil,Filecoin,1625028236,172051458
usdt0,usdt0,USDT0,1558977776,250502641
binance-peg-weth,weth,Binance-Peg WETH,1519554267,77855897
arbitrum,arb,Arbitrum,1515969631,248602672
first-digital-usd,fdusd,First Digital USD,1509540898,6730208585
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,1506313990,51016613
worldcoin-wld,wld,Worldcoin,1488511580,243242680
quant-network,qnt,Quant,1474941570,31649604
algorand,algo,Algorand,1468752002,79170249
usdtb,usdtb,USDtb,1456751996,5075779
kucoin-shares,kcs,KuCoin,1384158245,7528964
binance-staked-sol,bnsol,Binance Staked SOL,1318016753,2009347
nexo,nexo,NEXO,1220029806,11899865
flare-networks,flr,Flare,1206781967,5175987
spx6900,spx,SPX6900,1205543831,92132528
rocket-pool-eth,reth,Rocket Pool ETH,1188418957,4088799
jupiter-exchange-solana,jup,Jupiter,1172642329,45420662
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1156777030,273856
celestia,tia,Celestia,1125680194,113911263
virtual-protocol,virtual,Virtuals Protocol,1116548136,278449688
fartcoin,fartcoin,Fartcoin,1103480679,303858890
