id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,2.12408E+12,34208861412
ethereum,eth,Ethereum,3.11669E+11,25152685491
tether,usdt,Tether,1.55516E+11,29396947814
ripple,xrp,XRP,1.3156E+11,4573326447
binancecoin,bnb,BNB,95946776374,719072317
solana,sol,Solana,80772657901,5017843626
usd-coin,usdc,USDC,61595567230,6891921533
tron,trx,TRON,26220178456,1747591511
dogecoin,doge,Dogecoin,25976816162,1193925795
staked-ether,steth,Lido Staked Ether,23492189447,16908200
cardano,ada,Cardano,22807579865,655718143
hyperliquid,hype,Hyperliquid,14113926715,450792641
wrapped-bitcoin,wbtc,Wrapped Bitcoin,13780606346,254028822
wrapped-steth,wsteth,Wrapped stETH,11231279984,13606520
sui,sui,Sui,10154816890,952296172
bitcoin-cash,bch,Bitcoin Cash,9469315273,438245652
chainlink,link,Chainlink,8886126275,479591107
leo-token,leo,LEO Token,8562204674,2391582
stellar,xlm,Stellar,8115816998,228170537
avalanche-2,avax,Avalanche,8059455158,392043300
whitebit,wbt,WhiteBIT Coin,7423495067,127916829
the-open-network,ton,Toncoin,7345031057,193721615
usds,usds,USDS,7054676105,3619199
shiba-inu,shib,Shiba Inu,7010687943,165987677
wrapped-eeth,weeth,Wrapped eETH,6778011392,11651585
weth,weth,WETH,6750957904,92369265
hedera-hashgraph,hbar,Hedera,6563967551,187904110
litecoin,ltc,Litecoin,6559678023,323450972
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),6288469236,2532150258
monero,xmr,Monero,5984831777,107594469
ethena-usde,usde,Ethena USDe,5892531275,88405649
polkadot,dot,Polkadot,5849837165,174404763
bitget-token,bgb,Bitget Token,5275128622,36831229
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,4886627180,350777807
uniswap,uni,Uniswap,4599345741,697497939
pepe,pepe,Pepe,4445331290,1196791088
pi-network,pi,Pi Network,4270584389,105928912
aave,aave,Aave,4189675078,650470601
dai,dai,Dai,3612766557,90100757
ethena-staked-usde,susde,Ethena Staked USDe,3494144034,6351499
bittensor,tao,Bittensor,3162325937,163233637
okb,okb,OKB,3087896793,7050354
aptos,apt,Aptos,2977315226,185202071
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2904572220,0
internet-computer,icp,Internet Computer,2865662578,80949006
near,near,NEAR Protocol,2744117237,183656594
crypto-com-chain,cro,Cronos,2696464958,20038561
jito-staked-sol,jitosol,Jito Staked SOL,2634916118,54448872
ethereum-classic,etc,Ethereum Classic,2587494366,48568394
tokenize-xchange,tkx,Tokenize Xchange,2572965578,25004453
susds,susds,sUSDS,2501171386,18473980
ondo-finance,ondo,Ondo,2442020010,175597180
usd1-wlfi,usd1,USD1,2190223067,363087623
mantle,mnt,Mantle,2070194664,172127550
kaspa,kas,Kaspa,1972148785,83057699
sky,sky,Sky,1971781423,10638664
gatechain-token,gt,Gate,1965372679,11672667
official-trump,trump,Official Trump,1940761374,383747824
vechain,vet,VeChain,1909667649,34368229
fasttoken,ftn,Fasttoken,1906895335,56115065
cosmos,atom,Cosmos Hub,1880978173,87980764
lombard-staked-btc,lbtc,Lombard Staked BTC,1861183015,8283406
polygon-ecosystem-token,pol,POL (ex-MATIC),1789559049,72431791
ethena,ena,Ethena,1781785512,241226392
fetch-ai,fet,Artificial Superintelligence Alliance,1766346724,156014079
render-token,render,Render,1745871015,105841345
filecoin,fil,Filecoin,1656641581,185977990
binance-peg-weth,weth,Binance-Peg WETH,1563528617,86229019
usdt0,usdt0,USDT0,1546906304,275066792
arbitrum,arb,Arbitrum,1543110182,266858347
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,1532535303,70007320
worldcoin-wld,wld,Worldcoin,1519615640,225048834
algorand,algo,Algorand,1515203607,68788257
first-digital-usd,fdusd,First Digital USD,1511167952,3325537239
quant-network,qnt,Quant,1498887480,32647268
usdtb,usdtb,USDtb,1457044207,1160814
kucoin-shares,kcs,KuCoin,1393666023,6981108
binance-staked-sol,bnsol,Binance Staked SOL,1361193783,2672331
spx6900,spx,SPX6900,1335654947,123646062
jupiter-exchange-solana,jup,Jupiter,1243077130,51421190
nexo,nexo,NEXO,1226431575,11207532
rocket-pool-eth,reth,Rocket Pool ETH,1218220645,1853080
flare-networks,flr,Flare,1201712162,5970613
virtual-protocol,virtual,Virtuals Protocol,1199701207,239166427
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1187399512,110756
fartcoin,fartcoin,Fartcoin,1181173467,407551761
celestia,tia,Celestia,1146105844,101889922
bonk,bonk,Bonk,1132976139,210592602
injective-protocol,inj,Injective,1128048072,132725315
sonic-3,s,Sonic,1068787536,108810260
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1015254782,13194660
story-2,ip,Story,1008432258,15431394
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),998575118,373925648
optimism,op,Optimism,994906096,278940737
newton-project,ab,AB,990392109,137038831
blockstack,stx,Stacks,979461457,33912475
mantle-staked-ether,meth,Mantle Staked Ether,962738013,3180820
xdce-crowd-sale,xdc,XDC Network,956290186,27677311
paypal-usd,pyusd,PayPal USD,952028352,66321846
sei-network,sei,Sei,947824015,70494600
stakewise-v3-oseth,oseth,StakeWise Staked ETH,941944306,464057
kaia,kaia,Kaia,916620761,39952218
wbnb,wbnb,Wrapped BNB,877687228,1324392151
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),870115162,149131966
renzo-restaked-eth,ezeth,Renzo Restaked ETH,868242679,1545026
the-graph,grt,The Graph,855547086,39616143
pax-gold,paxg,PAX Gold,837114725,126587293
tether-gold,xaut,Tether Gold,836793997,49626255
clbtc,clbtc,clBTC,833421528,9.48
dogwifcoin,wif,dogwifhat,829713269,353257222
vaulta,a,Vaulta,822938093,45423391
immutable-x,imx,Immutable,813737589,65310748
curve-dao-token,crv,Curve DAO,813061597,162293396
solv-btc,solvbtc,Solv Protocol BTC,811581892,2176220
jupiter-staked-sol,jupsol,Jupiter Staked SOL,777763154,6030431
syrupusdc,syrupusdc,SyrupUSDC,777053574,8099077
jito-governance-token,jto,Jito,761759734,87751380
msol,msol,Marinade Staked SOL,749074720,14083107
floki,floki,FLOKI,743999212,80064802
lido-dao,ldo,Lido DAO,732191108,116687328
pancakeswap-token,cake,PancakeSwap,728036598,93738605
liquid-staked-ethereum,lseth,Liquid Staked ETH,725868993,2480619
ousg,ousg,OUSG,709698678,0
theta-token,theta,Theta Network,702240615,29703910
zcash,zec,Zcash,685178380,25711880
ethereum-name-service,ens,Ethereum Name Service,682902259,68120408
gala,gala,GALA,670148379,102835392
usdx-money-usdx,usdx,Stables Labs USDX,669800765,2100299
bittorrent,btt,BitTorrent,665122368,15047677
the-sandbox,sand,The Sandbox,649193841,48327793
pendle,pendle,Pendle,646133731,139909744
iota,iota,IOTA,643486228,17436543
bitcoin-cash-sv,bsv,Bitcoin SV,641116433,35426522
aerodrome-finance,aero,Aerodrome Finance,640163027,105423134
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,636252622,11032872
pudgy-penguins,pengu,Pudgy Penguins,633739157,117683889
jasmycoin,jasmy,JasmyCoin,625297703,38557546
walrus-2,wal,Walrus,617868439,27261951
usual-usd,usd0,Usual USD,614647062,8198602
wrapped-hype,whype,Wrapped HYPE,613857880,19476304
pyth-network,pyth,Pyth Network,610312679,31138114
solv-protocol-solvbtc-bbn,xsolvbtc,Solv Protocol Staked BTC,607662519,672185
tezos,xtz,Tezos,588005892,18489324
raydium,ray,Raydium,586721863,68410220
syrup,syrup,Maple Finance,585906144,126053953
coredaoorg,core,Core,581129771,11523012
super-oeth,superoeth,Super OETH,564141788,1478046
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),562911165,699604208
falcon-finance,usdf,Falcon USD,559335418,1793731
tbtc,tbtc,tBTC,558924780,13448904
flow,flow,Flow,558030345,21707347
mantle-restaked-eth,cmeth,Mantle Restaked ETH,538321602,6393563
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,534100246,48.66
apecoin,ape,ApeCoin,533064510,48521887
saros-finance,saros,Saros,529148275,8400383
thorchain,rune,THORChain,527433080,145963739
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),520452076,24623252
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),511261418,418586758
decentraland,mana,Decentraland,506172683,29494047
dexe,dexe,DeXe,505764215,10034690
compound-governance-token,comp,Compound,497137768,78264305
staked-hype,sthype,Staked HYPE,495408694,1638426
true-usd,tusd,TrueUSD,492385116,10700305
chain-2,xcn,Onyxcoin,492352939,60980672
kava,kava,Kava,466623902,9904682
morpho,morpho,Morpho,448817191,12530438
helium,hnt,Helium,447470131,7375504
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,444737115,2260921
based-brett,brett,Brett,440644276,39515095
grass,grass,Grass,435915780,58142150
beldex,bdx,Beldex,435160119,3024648
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),433288870,18813590
usdd,usdd,USDD,429869663,20404438
mimblewimblecoin,mwc,MimbleWimbleCoin,420208336,185727
apenft,nft,APENFT,415489467,8207912
aioz-network,aioz,AIOZ Network,411381403,20980967
hashnote-usyc,usyc,Circle USYC,409504053,547613
starknet,strk,Starknet,406940962,43060691
ripple-usd,rlusd,Ripple USD,405677415,139671024
ether-fi,ethfi,Ether.fi,403069276,133722467
dydx-chain,dydx,dYdX,401047999,16834829
usdb,usdb,USDB,399986269,55613
axelar,axl,Axelar,399538581,28219103
neo,neo,NEO,394649571,32737445
elrond-erd-2,egld,MultiversX,393967295,18254418
stader-ethx,ethx,Stader ETHx,392780929,52680
ket,ket,Ket,392402782,14355847
ether-fi-staked-eth,eeth,ether.fi Staked ETH,390643363,91945
ecash,xec,eCash,390029598,18574560
reserve-rights-token,rsr,Reserve Rights,385798778,31111247
conflux-token,cfx,Conflux,381122897,19305598
zebec-network,zbcn,Zebec Network,380768771,42512906
