id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,2088492978896,36173499253
ethereum,eth,Ethereum,305579574437,24457199549
tether,usdt,Tether,155487414186,32416936661
ripple,xrp,XRP,128043784004,3053452770
binancecoin,bnb,BNB,95122020670,870835542
solana,sol,Solana,78489857779,4536730926
usd-coin,usdc,USDC,61544704525,6207453387
tron,trx,TRON,25829987613,837285572
dogecoin,doge,Dogecoin,25642162584,1063105429
staked-ether,steth,Lido Staked Ether,23088682022,14810715
cardano,ada,Cardano,22250731183,582194623
wrapped-bitcoin,wbtc,Wrapped Bitcoin,13520807675,251912878
hyperliquid,hype,Hyperliquid,13496397698,498696037
wrapped-steth,wsteth,Wrapped stETH,11028184041,8556935
sui,sui,Sui,9728066686,1079553465
bitcoin-cash,bch,Bitcoin Cash,9310738192,437806845
chainlink,link,Chainlink,8628381643,440738847
leo-token,leo,LEO Token,8519377936,2753880
avalanche-2,avax,Avalanche,7937526800,364020484
stellar,xlm,Stellar,7917538570,197185813
the-open-network,ton,Toncoin,7366264167,163771044
usds,usds,USDS,7118309630,3322653
whitebit,wbt,WhiteBIT Coin,6966596378,93824467
shiba-inu,shib,Shiba Inu,6924557191,170201799
weth,weth,WETH,6634439147,226082236
wrapped-eeth,weeth,Wrapped eETH,6627589935,8831072
litecoin,ltc,Litecoin,6477471347,342245245
hedera-hashgraph,hbar,Hedera,6336726985,147839117
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),6285033479,3764745450
monero,xmr,Monero,5927835911,93543186
ethena-usde,usde,Ethena USDe,5892115495,79986454
polkadot,dot,Polkadot,5712957556,179927571
bitget-token,bgb,Bitget Token,5174425609,36745032
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,4837465848,325791335
uniswap,uni,Uniswap,4508896070,609469929
pepe,pepe,Pepe,4313319229,1071911749
pi-network,pi,Pi Network,4139000819,117418576
aave,aave,Aave,4071720867,582567550
dai,dai,Dai,3792843557,106611809
ethena-staked-usde,susde,Ethena Staked USDe,3497110524,5974411
bittensor,tao,Bittensor,3143429616,174712764
okb,okb,OKB,2926828755,19566221
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,2899998918,0.0
aptos,apt,Aptos,2872353547,168006799
internet-computer,icp,Internet Computer,2778980135,69786164
crypto-com-chain,cro,Cronos,2748406496,20283732
jito-staked-sol,jitosol,Jito Staked SOL,2654060475,42837242
near,near,NEAR Protocol,2641748643,187180486
susds,susds,sUSDS,2531220960,24604069
ethereum-classic,etc,Ethereum Classic,2528710950,48891568
tokenize-xchange,tkx,Tokenize Xchange,2395234145,25183386
ondo-finance,ondo,Ondo,2382299761,178135887
usd1-wlfi,usd1,USD1,2193060656,366823771
mantle,mnt,Mantle,2026466951,186534849
gatechain-token,gt,Gate,1952159110,16195023
official-trump,trump,Official Trump,1913055362,255584269
fasttoken,ftn,Fasttoken,1900268183,56727588
kaspa,kas,Kaspa,1895268964,58136539
vechain,vet,VeChain,1860325055,32713464
cosmos,atom,Cosmos Hub,1843361720,99920630
sky,sky,Sky,1815676979,9219921
lombard-staked-btc,lbtc,Lombard Staked BTC,1798733405,9247805
polygon-ecosystem-token,pol,POL (ex-MATIC),1755195336,70791278
fetch-ai,fet,Artificial Superintelligence Alliance,1724246528,181408721
ethena,ena,Ethena,1717101885,221809304
render-token,render,Render,1678163191,111989442
filecoin,fil,Filecoin,1629187198,160549274
usdt0,usdt0,USDT0,1559426910,252495369
binance-peg-weth,weth,Binance-Peg WETH,1531821725,73580023
arbitrum,arb,Arbitrum,1521677126,239676260
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,1510546262,47296130
first-digital-usd,fdusd,First Digital USD,1508573924,6369415984
worldcoin-wld,wld,Worldcoin,1500983672,205976638
quant-network,qnt,Quant,1479491674,31286089
algorand,algo,Algorand,1476333142,73345937
usdtb,usdtb,USDtb,1456827404,4975623
kucoin-shares,kcs,KuCoin,1392570182,5306228
binance-staked-sol,bnsol,Binance Staked SOL,1322034769,1967854
spx6900,spx,SPX6900,1256530363,97715741
nexo,nexo,NEXO,1222096927,11874632
flare-networks,flr,Flare,1214786637,5216927
rocket-pool-eth,reth,Rocket Pool ETH,1194907178,4098703
jupiter-exchange-solana,jup,Jupiter,1188001426,44822049
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1165087175,276567
celestia,tia,Celestia,1138373233,108787889
fartcoin,fartcoin,Fartcoin,1123853890,292751868
virtual-protocol,virtual,Virtuals Protocol,1122959515,265379084
bonk,bonk,Bonk,1102045615,208500830
injective-protocol,inj,Injective,1081643350,115996042
sonic-3,s,Sonic,1041468554,97409376
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1015257083,24295276
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),998627609,734514402
newton-project,ab,AB,997987226,120796208
optimism,op,Optimism,973597116,253597362
story-2,ip,Story,972898259,17455902
paypal-usd,pyusd,PayPal USD,950409831,15716574
xdce-crowd-sale,xdc,XDC Network,947714988,28569767
blockstack,stx,Stacks,945756820,37625090
mantle-staked-ether,meth,Mantle Staked Ether,945193101,1975456
kaia,kaia,Kaia,939884978,52183305
sei-network,sei,Sei,941645081,194839273
stakewise-v3-oseth,oseth,StakeWise Staked ETH,923977404,904983
solv-btc,solvbtc,Solv Protocol BTC,892093583,1807708
wbnb,wbnb,Wrapped BNB,867846328,1289634607
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),856804716,139011829
renzo-restaked-eth,ezeth,Renzo Restaked ETH,852837567,1621934
pax-gold,paxg,PAX Gold,845890931,127130871
tether-gold,xaut,Tether Gold,835007414,42614994
the-graph,grt,The Graph,833271887,36462746
clbtc,clbtc,clBTC,823927608,3.4
vaulta,a,Vaulta,799922318,46804958
curve-dao-token,crv,Curve DAO,798410161,143147539
dogwifcoin,wif,dogwifhat,784544085,386672830
syrupusdc,syrupusdc,SyrupUSDC,784238801,6349482
immutable-x,imx,Immutable,783429808,64848806
jupiter-staked-sol,jupsol,Jupiter Staked SOL,756280605,3889784
jito-governance-token,jto,Jito,730479578,99450282
msol,msol,Marinade Staked SOL,730037823,9673983
floki,floki,FLOKI,721246776,72697075
liquid-staked-ethereum,lseth,Liquid Staked ETH,719130613,1406941
pancakeswap-token,cake,PancakeSwap,717105106,84625042
ousg,ousg,OUSG,709776402,0.0
lido-dao,ldo,Lido DAO,699896131,100850279
theta-token,theta,Theta Network,696966249,24372005
usdx-money-usdx,usdx,Stables Labs USDX,669938299,1102022
zcash,zec,Zcash,666495672,18862792
ethereum-name-service,ens,Ethereum Name Service,666125753,70114598
